"name","children__name","children__children__name","children__children__size"
"Recipes (82366)","Mains (60129)","salt","14792"
"","","butter","9543"
"","","water","7601"
"","","sugar","8548"
"","","all-purpose flour","6859"
"","","olive oil","6806"
"","","eggs","6542"
"","","pepper","6455"
"","","vegetable oil","4514"
"","","milk","4425"
"","","vanilla extract","3255"
"","","lemon juice","3206"
"","","cinnamon","2797"
"","","garlic powder","2742"
"","","parmesan cheese","2418"
"","","garlic","2257"
"","","onion","2224"
"","","soy sauce","2166"
"","","baking powder","2155"
"","","cumin","2144"
"","","corn starch","2001"
"","","baking soda","1958"
"","Desserts (11381)","sugar","7331"
"","","vanilla extract","5238"
"","","butter","4716"
"","","eggs","4687"
"","","all purpose flour","4623"
"","","salt","4105"
"","","baking soda","2471"
"","","brown sugar","2108"
"","","cinnamon","2087"
"","","baking powder","2001"
"","","milk","1891"
"","","confectioners’ sugar","1330"
"","","water","1260"
"","","walnuts","991"
"","","vegetable oil","882"
"","","cocoa powder","824"
"","","nutmeg","818"
"","","pecans","733"
"","","chocolate chips","727"
"","","shortening","676"
"","Salads (3431)","olive oil","797"
"","","salt","603"
"","","mayonnaise","601"
"","","sugar","574"
"","","pepper","361"
"","","lemon juice","293"
"","","vegetable oil","252"
"","","water","227"
"","","red wine vinegar","217"
"","","balsamic vinegar","178"
"","","dijon mustard","175"
"","","parsley","160"
"","","green onions","148"
"","","honey","144"
"","","celery","136"
"","","cilantro","133"
"","","eggs","131"
"","","sour cream","128"
"","","garlic","125"
"","Breads (2721)","salt","1872"
"","","all purpose flour","1706"
"","","sugar","1536"
"","","eggs","1230"
"","","baking powder","968"
"","","baking soda","706"
"","","butter","875"
"","","milk","626"
"","","cinnamon","590"
"","","vegetable oil","539"
"","","vanilla extract","467"
"","","water","395"
"","","whole wheat flour","267"
"","","brown sugar","246"
"","","warm water","239"
"","","honey","238"
"","","active dry yeast","227"
"","","nutmeg","203"
"","","buttermilk","180"
"","","olive oil","155"
"","Breakfasts (2462)","eggs","1038"
"","","salt","806"
"","","milk","757"
"","","sugar","557"
"","","all purpose flour","518"
"","","cinnamon","465"
"","","butter","462"
"","","vanilla extract","446"
"","","baking powder","403"
"","","baking soda","314"
"","","vegetable oil","296"
"","","water","239"
"","","brown sugar","180"
"","","shredded cheddar","179"
"","","honey","170"
"","","nutmeg","138"
"","","olive oil","125"
"","","pepper","124"
"","Drinks (2180)","ice","526"
"","","sugar","400"
"","","vodka","193"
"","","water","180"
"","","milk","166"
"","","vanilla extract","153"
"","","orange juice","103"
"","","pineapple juice","91"
"","","lemon juice","75"
"","","cinnamon","75"
"","","honey","70"
"","","brown sugar","55"
"","","boiling water","53"
"","","cloves","49"
"","","nutmeg","49"
"","","chocolate syrup","44"
"","","cherries","43"
"","","whipped cream","41"
"","Sides (62)","water","9"
"","","shredded cheddar","6"
"","","I Can’t Believe it’s Not Butter!","3"
"","","green onions","2"
"","","coleslaw mix","2"
